,Date,BRK/A US Equity  (R1),BRK/B US Equity  (L1),BRK/A US Equity / BRK/B US Equity (1500 scaled),SMA_21,SMA_50,SMA_120
0,1996-05-09,35000.0,23.2,1.005747133,,,
1,1996-05-10,35400.0,24.0,0.9833333329999999,,,
2,1996-05-13,35300.0,23.9,0.984658267,,,
3,1996-05-14,35200.0,23.6,0.9943502670000001,,,
4,1996-05-15,34650.0,23.2,0.9956896000000001,,,
5,1996-05-16,33700.0,22.6,0.994100267,,,
6,1996-05-17,34100.0,22.8,0.9970760000000001,,,
7,1996-05-20,34000.0,22.5,1.0074074,,,
8,1996-05-21,33700.0,22.6,0.994100267,,,
9,1996-05-22,33100.0,22.0,1.003030267,,,
10,1996-05-23,32900.0,22.1,0.9924584670000001,,,
11,1996-05-24,32400.0,21.6,1.0,,,
12,1996-05-28,31800.0,21.2,1.0,,,
13,1996-05-29,31400.0,20.8,1.0064102670000001,,,
14,1996-05-30,30600.0,20.5,0.995122,,,
15,1996-05-31,30500.0,20.4,0.996732,,,
16,1996-06-03,30100.0,20.1,0.998341667,,,
17,1996-06-04,31900.0,21.4,0.993769467,,,
18,1996-06-05,32600.0,21.86,0.9942055329999999,,,
19,1996-06-06,32400.0,21.7,0.995391667,,,
20,1996-06-07,32400.0,21.6,1.0,0.996758279,,
21,1996-06-10,31900.0,21.2,1.003144667,0.9966343529999999,,
22,1996-06-11,32400.0,21.4,1.0093458,0.997873041,,
23,1996-06-12,33000.0,22.0,1.0,0.9986036,,
24,1996-06-13,33100.0,22.06,1.0003022670000001,0.998887029,,
25,1996-06-14,33100.0,22.0,1.003030267,0.999236584,,
26,1996-06-17,32655.0,21.82,0.997708467,0.999408403,,
27,1996-06-18,32600.0,21.66,1.003385667,0.999708864,,
28,1996-06-19,32200.0,21.3,1.0078247329999999,0.999728737,,
29,1996-06-20,31200.0,20.7,1.0048308670000001,1.000239718,,
30,1996-06-21,31000.0,20.7,0.998389733,1.00001874,,
31,1996-06-24,30850.0,20.6,0.998381933,1.00030081,,
32,1996-06-25,30600.0,20.4,0.999877467,1.000294975,,
33,1996-06-26,30700.0,20.4,1.003268,1.0004505940000001,,
34,1996-06-27,30200.0,20.2,0.9966997329999999,0.999988187,,
35,1996-06-28,30700.0,20.66,0.9906421999999999,0.999774864,,
36,1996-07-01,31900.0,21.5,0.989147267,0.9994136859999999,,
37,1996-07-02,32750.0,21.7,1.0061444,0.999785245,,
38,1996-07-03,31950.0,21.3,1.0,1.000081937,,
39,1996-07-05,31000.0,20.7,0.998389733,1.000281184,,
40,1996-07-08,31600.0,20.96,1.005089,1.0007429620000001,,
41,1996-07-09,32000.0,21.2,1.006289333,1.001042454,,
42,1996-07-10,31500.0,20.98,1.000953267,1.000938102,,
43,1996-07-11,31100.0,20.8,0.9967948670000001,1.000340438,,
44,1996-07-12,31275.0,20.84,1.0004798000000001,1.000363286,,
45,1996-07-15,31150.0,20.66,1.005162933,1.000594746,,
46,1996-07-16,31200.0,20.7,1.0048308670000001,1.000680489,,
47,1996-07-17,31950.0,21.1,1.009478667,1.001240975,,
48,1996-07-18,32200.0,21.2,1.0125786,1.0016787329999999,,
49,1996-07-19,31800.0,21.1,1.004739333,1.00153181,0.999776675,
50,1996-07-22,31505.0,20.84,1.007837467,1.0016749809999999,0.9998184809999999,
51,1996-07-23,31000.0,20.4,1.013071867,1.00237413,1.000413252,
52,1996-07-24,30700.0,20.5,0.998374,1.002373752,1.000687567,
53,1996-07-25,30800.0,20.5,1.0016260000000001,1.002457016,1.000833081,
54,1996-07-26,31400.0,20.4,1.0261438,1.00354634,1.001442165,
55,1996-07-29,31100.0,20.5,1.011382067,1.004245498,1.0017878009999999,
56,1996-07-30,30800.0,20.54,0.999675467,1.0046756540000001,1.0018397909999999,
57,1996-07-31,30900.0,20.52,1.0038985999999999,1.005378098,1.001769615,
58,1996-08-01,31000.0,20.54,1.0061668,1.005379165,1.002010945,
59,1996-08-02,31400.0,20.96,0.998727733,1.005318581,1.001924895,
60,1996-08-05,31300.0,20.8,1.003205133,1.005547886,1.002139828,
61,1996-08-06,31200.0,20.8,1.0,1.005305552,1.002139828,
62,1996-08-07,31200.0,20.84,0.998080667,1.004914664,1.002101441,
63,1996-08-08,31200.0,20.88,0.9961686,1.004686822,1.001896608,
64,1996-08-09,31100.0,20.8,0.9967948670000001,1.004686822,1.001930065,
65,1996-08-12,31200.0,20.86,0.997123667,1.004527006,1.001937899,
66,1996-08-13,31000.0,20.72,0.997426,1.004158581,1.001919585,
67,1996-08-14,32500.0,21.6,1.0030864,1.004075511,1.002105924,
68,1996-08-15,33400.0,22.2,1.003003,1.003767146,1.002281873,
69,1996-08-16,32900.0,21.86,1.003354667,1.003327911,1.002441133,
70,1996-08-19,32400.0,21.68,0.99631,1.002926514,1.002367333,
71,1996-08-20,32000.0,21.4,0.996884733,1.002404956,1.002242135,
72,1996-08-21,32000.0,21.2,1.006289333,1.0020819779999999,1.002181005,
73,1996-08-22,31800.0,21.3,0.9953052,1.0019358440000001,1.002087109,
74,1996-08-23,32000.0,21.34,0.9996876,1.00184354,1.002074816,
75,1996-08-26,31700.0,21.14,0.999684667,1.0005835809999999,1.002007904,
76,1996-08-27,31500.0,21.2,0.990566,0.99959234,1.001865055,
77,1996-08-28,31400.0,20.98,0.997775667,0.9995018729999999,1.001752855,
78,1996-08-29,31200.0,20.7,1.0048308670000001,0.999546267,1.001692977,
79,1996-08-30,31300.0,20.82,1.002241467,0.999359346,1.001641189,
80,1996-09-03,31300.0,20.96,0.9955470670000001,0.999207886,1.0015843359999999,
81,1996-09-04,31550.0,21.0,1.001587333,0.999130848,1.001648444,
82,1996-09-05,31500.0,20.9,1.004784667,0.999358689,1.001746588,
83,1996-09-06,31700.0,21.04,1.004436067,0.999661327,1.001769949,
84,1996-09-09,32100.0,21.36,1.001872667,0.9999329490000001,1.001873408,
85,1996-09-10,31700.0,21.2,0.996855333,0.9999358290000001,1.001997671,
86,1996-09-11,32000.0,21.32,1.0006254,1.000102578,1.002227233,
87,1996-09-12,32000.0,21.44,0.995024933,0.9999882409999999,1.002004844,
88,1996-09-13,32150.0,21.46,0.9987574,0.999782098,1.001979992,
89,1996-09-16,32800.0,21.84,1.001221,0.9996972409999999,1.0020366170000001,
90,1996-09-17,32700.0,21.66,1.006463533,0.999845283,1.002064108,
91,1996-09-18,32600.0,21.56,1.008039533,1.000403832,1.002099112,
92,1996-09-19,32700.0,21.66,1.006463533,1.000859965,1.002209317,
93,1996-09-20,32800.0,21.74,1.0058264000000001,1.000837921,1.002389948,
94,1996-09-23,32500.0,21.52,1.006815333,1.001386022,1.002516659,
95,1996-09-24,32400.0,21.56,1.001855333,1.001489248,1.002450507,
96,1996-09-25,32350.0,21.48,1.004034733,1.001696394,1.002434584,
97,1996-09-26,32200.0,21.48,0.9993791999999999,1.00211607,1.002232595,
98,1996-09-27,32200.0,21.36,1.004993733,1.002459787,1.0020808970000001,
99,1996-09-30,32150.0,21.46,0.9987574,1.002170575,1.001961259,
100,1996-10-01,32000.0,21.24,1.0043942,1.002273086,1.0018923929999999,
101,1996-10-02,32100.0,21.42,0.9990663329999999,1.00244067,1.001612283,
102,1996-10-03,32100.0,21.4,1.0,1.002365082,1.001644803,
103,1996-10-04,32200.0,21.4,1.003115267,1.002285587,1.001674588,
104,1996-10-07,32000.0,21.3,1.001564933,1.002148867,1.001183011,
105,1996-10-08,31900.0,21.16,1.005040933,1.0022997359999999,1.001056188,
106,1996-10-09,31900.0,21.28,0.9993734670000001,1.002419647,1.001050148,
107,1996-10-10,31900.0,21.22,1.0021992,1.00249459,1.00101616,
108,1996-10-11,32100.0,21.16,1.0113421329999999,1.0032716,1.001119667,
109,1996-10-14,31900.0,21.3,0.9984350670000001,1.003256251,1.001113813,
110,1996-10-15,31700.0,21.2,0.996855333,1.0030483620000001,1.000986817,
111,1996-10-16,32300.0,21.46,1.0034172670000001,1.002903301,1.001055163,
112,1996-10-17,32500.0,21.64,1.001232267,1.002579146,1.001118195,
113,1996-10-18,32500.0,21.68,0.9993850000000001,1.002242073,1.001182523,
114,1996-10-21,32300.0,21.52,1.000619533,1.0019941270000001,1.001259016,
115,1996-10-22,32600.0,21.76,0.998774467,1.001611229,1.001292032,
116,1996-10-23,32400.0,21.58,1.000926733,1.001567009,1.001362047,
117,1996-10-24,32600.0,21.78,0.997857333,1.001272848,1.001257465,
118,1996-10-25,32700.0,21.72,1.003683267,1.001477803,1.001271071,
119,1996-10-28,32550.0,21.56,1.006493467,1.0015492190000002,1.001333847,1.001005607
120,1996-10-29,32400.0,21.62,0.9990749329999999,1.00156434,1.001389145,1.0009500059999998
121,1996-10-30,32450.0,21.48,1.0071384,1.001695016,1.001594219,1.001148381
122,1996-10-31,32400.0,21.58,1.000926733,1.001783606,1.001486967,1.001283952
123,1996-11-01,32350.0,21.62,0.997533133,1.0016661359999999,1.001531525,1.001310476
124,1996-11-04,32350.0,21.72,0.9929404000000001,1.001181619,1.0013965809999998,1.001287566
125,1996-11-05,33000.0,21.94,1.002734733,1.001237324,1.0014575829999999,1.001359519
126,1996-11-06,32900.0,21.92,1.000608267,1.001026244,1.001658428,1.001388955
127,1996-11-07,32800.0,21.86,1.000304933,1.0010706,1.001709013,1.001329768
128,1996-11-08,32900.0,21.88,1.002437533,1.001081949,1.001661147,1.001399245
129,1996-11-11,33100.0,21.92,1.006691,1.000860467,1.001750137,1.0014297509999999
130,1996-11-12,33500.0,22.22,1.005100533,1.00117787,1.001941207,1.001535102
131,1996-11-13,33300.0,22.18,1.000901667,1.001370552,1.001927493,1.0015426159999998
132,1996-11-14,33400.0,22.24,1.001199067,1.001264924,1.001855781,1.001552608
133,1996-11-15,33000.0,22.08,0.9963768,1.001033711,1.0016945959999999,1.0014689959999998
