,Date,BF/A US Equity,BF/B US Equity,BF/A US Equity / BF/B US Equity,SMA_21,SMA_50,SMA_120
34,1988-04-28,1.6622,1.7067,0.9740000000000001,0.9717,,
35,1988-04-29,1.6267,1.7067,0.9531,0.9688,,
36,1988-05-02,1.6356,1.6844,0.971,0.967680952,,
37,1988-05-03,1.6356,1.6711,0.9787,0.967457143,,
38,1988-05-04,1.5911,1.6356,0.9728,0.967209524,,
39,1988-05-05,1.5911,1.6267,0.9781,0.9679047620000001,,
40,1988-05-06,1.5911,1.64,0.9702,0.967838095,,
41,1988-05-09,1.6,1.6622,0.9626,0.9677571429999999,,
42,1988-05-10,1.6133,1.6667,0.968,0.968719048,,
43,1988-05-11,1.5956,1.64,0.9729,0.969785714,,
44,1988-05-12,1.6044,1.6578,0.9678,0.970833333,,
45,1988-05-13,1.6044,1.68,0.955,0.970014286,,
46,1988-05-16,1.6222,1.6844,0.9631,0.96887619,,
47,1988-05-17,1.6267,1.6889,0.9632,0.968361905,,
48,1988-05-18,1.6178,1.6622,0.9733,0.968204762,,
49,1988-05-19,1.6089,1.6711,0.9628,0.9675476190000001,0.9759180000000001,
50,1988-05-20,1.6089,1.6444,0.9784,0.9680047620000001,0.975864,
51,1988-05-23,1.6,1.6356,0.9783,0.9686904759999999,0.9756459999999999,
52,1988-05-24,1.6,1.6444,0.973,0.969242857,0.9753219999999999,
53,1988-05-25,1.6,1.6489,0.9704,0.969433333,0.97505,
54,1988-05-26,1.6044,1.64,0.9783,0.969761905,0.974986,
55,1988-05-27,1.5822,1.6222,0.9753,0.96982381,0.974806,
56,1988-05-31,1.5689,1.6267,0.9645,0.9703666670000001,0.97436,
57,1988-06-01,1.6489,1.7244,0.9562,0.969661905,0.97359,
58,1988-06-02,1.64,1.7067,0.9609,0.968814286,0.972914,
59,1988-06-03,1.6489,1.7111,0.9636,0.96837619,0.9722379999999999,
60,1988-06-06,1.64,1.7022,0.9634,0.96767619,0.971506,
61,1988-06-07,1.6311,1.6756,0.9735,0.967833333,0.9709760000000001,
62,1988-06-08,1.7111,1.7822,0.9601,0.967714286,0.9703379999999999,
63,1988-06-09,1.7022,1.7511,0.9721,0.9679095240000001,0.969726,
64,1988-06-10,1.7022,1.7511,0.9721,0.967871429,0.968888,
65,1988-06-13,1.72,1.7689,0.9724,0.968090476,0.9684459999999999,
66,1988-06-14,1.7422,1.8044,0.9655,0.9685904759999999,0.968088,
67,1988-06-15,1.7111,1.7822,0.9601,0.9684476190000001,0.96773,
68,1988-06-16,1.6889,1.7422,0.9694,0.9687428570000001,0.9678479999999999,
69,1988-06-17,1.6533,1.7067,0.9688,0.9685285709999999,0.967792,
70,1988-06-20,1.6533,1.7111,0.9662,0.9686904759999999,0.96783,
71,1988-06-21,1.6444,1.7067,0.9635,0.967980952,0.968144,
72,1988-06-22,1.72,1.7644,0.9748,0.967814286,0.9686299999999999,
73,1988-06-23,1.6844,1.7511,0.9619,0.9672857140000001,0.968952,
74,1988-06-24,1.68,1.7378,0.9668,0.9671142859999999,0.968844,
75,1988-06-27,1.6489,1.68,0.9815,0.9672666670000001,0.968734,
76,1988-06-28,1.6356,1.68,0.9735,0.967180952,0.968724,
77,1988-06-29,1.6044,1.64,0.9783,0.967838095,0.968758,
78,1988-06-30,1.6356,1.7067,0.9583,0.967938095,0.968392,
79,1988-07-01,1.6356,1.68,0.9735,0.968538095,0.9684860000000001,
80,1988-07-05,1.6267,1.7022,0.9556,0.968157143,0.9683200000000001,
81,1988-07-06,1.6222,1.6622,0.9759,0.9687523809999999,0.9686100000000001,
82,1988-07-07,1.6044,1.6622,0.9652,0.968357143,0.9685860000000001,
83,1988-07-08,1.5956,1.64,0.9729,0.968966667,0.968616,
84,1988-07-11,1.6089,1.6444,0.9784,0.9692666670000001,0.9687040000000001,
85,1988-07-12,1.5644,1.5956,0.9805,0.969666667,0.969252,
86,1988-07-13,1.5467,1.6,0.9667,0.9693952379999999,0.969166,
87,1988-07-14,1.5467,1.6,0.9667,0.969452381,0.9689260000000001,
88,1988-07-15,1.5378,1.6,0.9611,0.9695,0.968692,
89,1988-07-18,1.5289,1.5822,0.9663,0.969352381,0.968456,
90,1988-07-19,1.5289,1.5778,0.9690000000000001,0.969361905,0.968432,
91,1988-07-20,1.5467,1.5733,0.9831,0.970166667,0.968842,
92,1988-07-21,1.5156,1.5378,0.9855,0.9712142859999999,0.969192,
93,1988-07-22,1.5022,1.5422,0.9741,0.971180952,0.969216,
94,1988-07-25,1.5111,1.56,0.9687,0.971504762,0.969234,
95,1988-07-26,1.5156,1.5556,0.9743,0.971861905,0.96962,
96,1988-07-27,1.4933,1.5244,0.9796,0.971771429,0.96995,
97,1988-07-28,1.4889,1.5511,0.9599,0.97112381,0.969884,
98,1988-07-29,1.5467,1.6178,0.956,0.970061905,0.9695379999999999,
99,1988-08-01,1.5422,1.5778,0.9775,0.97097619,0.9698319999999999,
100,1988-08-02,1.5244,1.5556,0.98,0.9712857140000001,0.969864,
101,1988-08-03,1.5244,1.5822,0.9635,0.971661905,0.969568,
102,1988-08-04,1.5244,1.5733,0.9689,0.9713285709999999,0.9694860000000001,
103,1988-08-05,1.5244,1.5689,0.9717,0.971638095,0.969512,
104,1988-08-08,1.5022,1.5378,0.9769,0.971828571,0.969484,
105,1988-08-09,1.5022,1.5333,0.9797,0.9718904759999999,0.969572,
106,1988-08-10,1.4711,1.4933,0.9851,0.9721095240000001,0.9699840000000001,
107,1988-08-11,1.4533,1.5111,0.9618,0.97187619,0.970096,
108,1988-08-12,1.4578,1.5067,0.9676,0.971919048,0.9702299999999999,
109,1988-08-15,1.4533,1.4978,0.9703,0.972357143,0.9703639999999999,
110,1988-08-16,1.4533,1.5111,0.9618,0.972142857,0.970332,
111,1988-08-17,1.4578,1.4978,0.9733,0.9723476190000001,0.9703280000000001,
112,1988-08-18,1.4578,1.4978,0.9733,0.971880952,0.970592,
113,1988-08-19,1.4578,1.5022,0.9704,0.971161905,0.970558,
114,1988-08-22,1.4578,1.4933,0.9762,0.971261905,0.97064,
115,1988-08-23,1.4756,1.5244,0.9679,0.97122381,0.97055,
116,1988-08-24,1.4844,1.5378,0.9653,0.970795238,0.9705459999999999,
117,1988-08-25,1.4844,1.5289,0.9709,0.9703809520000001,0.9707620000000001,
118,1988-08-26,1.4889,1.5378,0.9682,0.97077619,0.9707379999999999,
119,1988-08-29,1.5022,1.5467,0.9713,0.971504762,0.9707879999999999,0.972596667
120,1988-08-30,1.5022,1.5378,0.9769,0.97147619,0.971002,0.972561667
121,1988-08-31,1.4889,1.5289,0.9738,0.971180952,0.971208,0.972433333
122,1988-09-01,1.4889,1.5333,0.971,0.971538095,0.971132,0.9722816670000001
123,1988-09-02,1.4978,1.5556,0.9629,0.9712523809999999,0.971152,0.972105833
124,1988-09-06,1.5022,1.5689,0.9575,0.97057619,0.970966,0.971905833
125,1988-09-07,1.5289,1.5911,0.9609,0.969814286,0.9705540000000001,0.9717108329999999
126,1988-09-08,1.5289,1.6,0.9556,0.968666667,0.970196,0.971450833
127,1988-09-09,1.5733,1.6356,0.9620000000000001,0.967566667,0.9698700000000001,0.971178333
128,1988-09-12,1.5733,1.6222,0.9699,0.9679523809999999,0.970102,0.970971667
129,1988-09-13,1.5644,1.6356,0.9565,0.96742381,0.9697620000000001,0.970630833
130,1988-09-14,1.5911,1.6622,0.9572,0.9668,0.969794,0.970274167
131,1988-09-15,1.5956,1.6578,0.9625,0.966833333,0.969526,0.9699616670000001
132,1988-09-16,1.5956,1.6711,0.9548,0.9659523809999999,0.969318,0.969651667
133,1988-09-19,1.5956,1.6578,0.9625,0.965438095,0.96911,0.9693166670000001
134,1988-09-20,1.6267,1.6978,0.9581,0.9648523809999999,0.9687040000000001,0.968850833
135,1988-09-21,1.6267,1.72,0.9457,0.9634,0.968008,0.968444167
136,1988-09-22,1.6356,1.6756,0.9761,0.9637904759999999,0.968196,0.968383333
137,1988-09-23,1.6178,1.6578,0.9759,0.9642952379999999,0.9683799999999999,0.968365833
138,1988-09-26,1.6133,1.6756,0.9629,0.963914286,0.9684159999999999,0.968360833
139,1988-09-27,1.6267,1.7067,0.9531,0.963195238,0.968152,0.968206667
140,1988-09-28,1.6311,1.7022,0.9582,0.962571429,0.967936,0.968155833
141,1988-09-29,1.6622,1.7378,0.9565,0.9616,0.967404,0.968228333
142,1988-09-30,1.68,1.7467,0.9618,0.9610285709999999,0.96693,0.9683225000000001
143,1988-10-03,1.68,1.7289,0.9717,0.961061905,0.966882,0.9685383329999999
144,1988-10-04,1.68,1.72,0.9767,0.961719048,0.967042,0.9685758329999999
145,1988-10-05,1.6711,1.7289,0.9666,0.9621523809999999,0.966888,0.9684058329999999
146,1988-10-06,1.68,1.7333,0.9692,0.9625476190000001,0.9666799999999999,0.968365833
147,1988-10-07,1.7644,1.84,0.9589,0.962704762,0.9666600000000001,0.9682183329999999
148,1988-10-10,1.7822,1.8533,0.9616,0.962685714,0.966772,0.968093333
149,1988-10-11,1.7822,1.8311,0.9733,0.962847619,0.9666879999999999,0.968130833
150,1988-10-12,1.7467,1.7911,0.9752,0.963738095,0.966592,0.968225
151,1988-10-13,1.7556,1.8044,0.9729,0.964485714,0.96678,0.9683208329999999
152,1988-10-14,1.7556,1.7867,0.9826,0.965442857,0.9670540000000001,0.9684558329999999
153,1988-10-17,1.7422,1.8,0.9679,0.966066667,0.9669780000000001,0.968426667
154,1988-10-18,1.7689,1.8489,0.9567,0.9657904759999999,0.9665739999999999,0.9682825
155,1988-10-19,1.7867,1.8222,0.9805,0.9668571429999999,0.96659,0.968510833
156,1988-10-20,1.8,1.8578,0.9689,0.967961905,0.966266,0.968493333
157,1988-10-21,1.8222,1.8933,0.9624,0.967309524,0.9662780000000001,0.9683575000000001
158,1988-10-24,1.8489,1.9156,0.9652,0.9668,0.9662299999999999,0.968294167
159,1988-10-25,1.84,1.92,0.9583,0.966580952,0.96599,0.9681291670000001
160,1988-10-26,1.8267,1.9111,0.9558,0.9667095240000001,0.9658700000000001,0.9680091670000001
161,1988-10-27,1.7956,1.8578,0.9665,0.9671047620000001,0.965734,0.968041667
162,1988-10-28,1.8044,1.8756,0.9621,0.9673714290000001,0.9655100000000001,0.9679924999999999
163,1988-10-31,1.7956,1.84,0.9758,0.968038095,0.965618,0.968016667
164,1988-11-01,1.7911,1.8444,0.9711,0.9680095240000001,0.965516,0.9680441670000001
165,1988-11-02,1.7911,1.84,0.9734,0.9678523809999999,0.965626,0.9681975
166,1988-11-03,1.7911,1.84,0.9734,0.96817619,0.9657879999999999,0.968283333
167,1988-11-04,1.7689,1.8133,0.9755,0.96847619,0.96588,0.9683858329999999
168,1988-11-07,1.7556,1.7867,0.9826,0.969604762,0.966168,0.968463333
169,1988-11-08,1.7556,1.7867,0.9826,0.970604762,0.9663940000000001,0.968628333
170,1988-11-09,1.72,1.76,0.9773,0.970795238,0.9664020000000001,0.9686191670000001
171,1988-11-10,1.7156,1.7911,0.9578,0.969966667,0.966082,0.968448333
172,1988-11-11,1.7022,1.7333,0.9821,0.970404762,0.966304,0.968524167
173,1988-11-14,1.6889,1.7467,0.9669,0.9696571429999999,0.966384,0.9684950000000001
174,1988-11-15,1.68,1.7467,0.9618,0.9693666670000001,0.96647,0.9683575000000001
175,1988-11-16,1.6844,1.7467,0.9644,0.969733333,0.96654,0.9682666670000001
176,1988-11-17,1.7067,1.76,0.9697,0.9692190479999999,0.966822,0.96831
177,1988-11-18,1.7067,1.7733,0.9624,0.9689095240000001,0.96683,0.968361667
178,1988-11-21,1.7067,1.7867,0.9552,0.968566667,0.9665360000000001,0.9683141670000001
179,1988-11-22,1.7244,1.8,0.958,0.96822381,0.966566,0.9682675
180,1988-11-23,1.7511,1.8267,0.9586,0.968238095,0.9665940000000001,0.9682275
181,1988-11-25,1.7556,1.8178,0.9658,0.968714286,0.9666600000000001,0.968163333
182,1988-11-28,1.7467,1.8178,0.9609,0.9684476190000001,0.9667819999999999,0.9681700000000001
183,1988-11-29,1.76,1.8444,0.9542,0.9680714290000001,0.966616,0.968020833
184,1988-11-30,1.8356,1.92,0.956,0.9671285709999999,0.9665739999999999,0.967886667
185,1988-12-01,1.8044,1.8844,0.9575,0.9664809520000001,0.9668100000000001,0.9677625
186,1988-12-02,1.8,1.8622,0.9666,0.966157143,0.96662,0.9677716670000001
187,1988-12-05,1.8,1.88,0.9574,0.9653952379999999,0.96625,0.967749167
188,1988-12-06,1.8267,1.92,0.9514,0.9642476190000001,0.9660200000000001,0.967599167
189,1988-12-07,1.8533,1.9556,0.9477,0.962585714,0.9659120000000001,0.9674233329999999
190,1988-12-08,1.8711,1.9556,0.9568,0.961357143,0.965884,0.9673450000000001
191,1988-12-09,1.8711,1.9556,0.9568,0.9603809520000001,0.9658899999999999,0.967289167
192,1988-12-12,1.88,1.9556,0.9614,0.960552381,0.965882,0.9671774999999999
193,1988-12-13,1.8578,1.9244,0.9654,0.9597571429999999,0.965756,0.967206667
194,1988-12-14,1.8489,1.9289,0.9585,0.959357143,0.965392,0.9671375
